skintype,skin_condition,product_type,product_name,brand,notable_effects,picture_src
Oily,"('wrinkles', 'pigmentation', 'sun damage')",Serum,AHC Peony Bright Luminous Serum,AHC,"('brightening', 'anti-aging', 'uv-protection')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/PEONY_BRIGHT_LUMINOUS_SERUM.jpg
"Dry, Oily, Sensitive","('wrinkles', 'sun damage')",Sunscreen,AIZEN SunOrion UV Sunscreen,AIZEN ,"('anti-aging', 'uv-protection')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/Aizen_SunOrion_UV_Sunscreen.png
"Normal, Combination","('skin imbalance', 'enlarged pores', 'oily skin')",Toner,AIZEN Incredipeel Exfoliating + Purifying Facial Toner,AIZEN ,"('balancing', 'oil-control', 'pore-care')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/Aizen_Incredipeel_Exfoliating_%2B_Purifying_Facial_Toner.png
Oily,"('wrinkles', 'pigmentation', 'sun damage')",Moisturizer,AIZEN Whitifique Face Cream,AIZEN,"('brightening', 'anti-aging', 'uv-protection')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/Aizen_Whitifique_Face_Cream.png
"Normal, Dry, Oily, Combination, Sensitive","('dry and dehydrated skin',)",Sunscreen,ANESSA Whitening UV Sunscreen Gel ,ANESSA,"('hydrating', 'moisturizing')","https://www.soco.id/cdn-cgi/image/w=73,format=auto,dpr=1.45/https://images.soco.id/image-0-1599549408994"
"Normal, Dry, Oily, Combination, Sensitive","('dry and dehydrated skin', 'redness')",Sunscreen,ANESSA Perfect UV Sunscreen Skincare Spray,ANESSA,"('hydrating', 'soothing')","https://www.soco.id/cdn-cgi/image/w=73,format=auto,dpr=1.45/https://images.soco.id/image-0-1599549508355"
"Dry, Sensitive","('sun damage', 'sun protection')",Sunscreen,ANESSA Moisture UV Sunscreen Mild Gel,ANESSA,"('uv-protection', 'no-whitecast')","https://www.soco.id/cdn-cgi/image/w=73,format=auto,dpr=1.45/https://images.soco.id/be54c625-d816-49bb-9c70-29ea70864ad7-36980382503-1624268815283.png"
"Normal, Dry, Oily, Combination, Sensitive","('dry and dehydrated skin', 'redness')",Sunscreen,ANESSA Perfect UV Sunscreen Skincare Milk ,ANESSA,"('hydrating', 'soothing')","https://www.soco.id/cdn-cgi/image/w=73,format=auto,dpr=1.45/https://images.soco.id/image-0-1599549714372"
"Normal, Dry, Oily, Combination, Sensitive","('dry and dehydrated skin',)",Sunscreen,ANESSA Perfect UV Sunscreen Skincare Gel ,ANESSA,"('hydrating', 'moisturizing')","https://www.soco.id/cdn-cgi/image/w=73,format=auto,dpr=1.45/https://images.soco.id/image-0-1599549638901"
Sensitive,"('sun damage', 'impaired skin barrier')",Sunscreen,ANESSA Perfect UV Sunscreen Mild Milk ,ANESSA ,"('skin-barrier', 'uv-protection')","https://www.soco.id/cdn-cgi/image/w=73,format=auto,dpr=1.45/https://images.soco.id/dab3ebcf-daed-4526-9e15-61373fd96974-95436076037-1624268764844.png"
Oily,"('dry and dehydrated skin', 'enlarged pores')",Face Wash,A'pieu Deep Clean Foam Cleanser (Whipping) ,A'PIEU  ,"('moisturizing', 'pore-care')","https://www.soco.id/cdn-cgi/image/w=244,format=auto,dpr=1.45/https://images.soco.id/54378026777-1595757094683.png"
"Normal, Dry","('dry and dehydrated skin',)",Face Wash,A'pieu Deep Clean Cleansing Water ,A'PIEU  ,"('hydrating', 'moisturizing')","https://www.soco.id/cdn-cgi/image/w=244,format=auto,dpr=1.45/https://images.soco.id/54152740384-1595757295729.png"
"Normal, Dry, Combination","('dry and dehydrated skin', 'dull skin')",Face Wash,A'pieu Deep Clean Foam Cleanser ,A'PIEU  ,"('hydrating', 'refreshing')",https://images.soco.id/23644210275-1595757045666.png
"Normal, Dry, Combination","('dry and dehydrated skin', 'enlarged pores')",Face Wash,A'pieu Deep Clean Cleansing Tissue ,A'PIEU  ,"('hydrating', 'pore-care')",https://images.soco.id/22495855550-1595756965359.png
Dry,"('dry and dehydrated skin', 'enlarged pores')",Face Wash,A'pieu Deep Clean Cleansing Oil ,A'PIEU  ,"('hydrating', 'pore-care')","https://www.soco.id/cdn-cgi/image/w=244,format=auto,dpr=1.45/https://images.soco.id/84558829453-1595757245792.png"
"Normal, Dry","('dry and dehydrated skin', 'dull skin', 'oily skin')",Face Wash,A'pieu Deep Clean Foam Cleanser (Pore),A'PIEU  ,"('moisturizing', 'refreshing', 'oil-control')","https://www.soco.id/cdn-cgi/image/w=244,format=auto,dpr=1.45/https://images.soco.id/76433825027-1595757151609.png"
"Normal, Dry","('dry and dehydrated skin', 'redness')",Face Wash,A'pieu Madecassoside Cleansing Foam ,A'PIEU  ,"('hydrating', 'soothing')","https://www.soco.id/cdn-cgi/image/w=244,format=auto,dpr=1.45/https://images.soco.id/2456a6db-3fd6-4405-b9c7-4f31478e006b-61305081348-1634523787238.png"
"Normal, Dry, Oily, Combination, Sensitive","('sun damage', 'sun protection')",Sunscreen,A'pieu Pure Block Water Proof Sun Cream Spf50+Pa+++ ,A'PIEU,"('uv-protection', 'no-whitecast')","https://www.soco.id/cdn-cgi/image/w=73,format=auto,dpr=1.45/https://images.soco.id/102aa41c-f273-4a3d-9a5c-6dd826fce701-7141209885-1607933656767.png"
"Normal, Dry, Oily, Combination, Sensitive","('dry and dehydrated skin', 'sun damage')",Sunscreen,"A'pieu Pure Block Daily Sun Cream Spf 45, Pa+++ ",A'PIEU,"('moisturizing', 'uv-protection')","https://www.soco.id/cdn-cgi/image/w=73,format=auto,dpr=1.45/https://images.soco.id/a51e94b8-0555-4bab-b16a-7d2a20ee0a10-11281816883-1629973295485.png"
"Normal, Dry, Oily, Combination, Sensitive","('dry and dehydrated skin', 'sun damage')",Sunscreen,A'pieu Pure Block Aqua Sun Gel Spf50+/Pa+++ ,A'PIEU,"('hydrating', 'uv-protection')","https://www.soco.id/cdn-cgi/image/w=73,format=auto,dpr=1.45/https://images.soco.id/aec682ae-c574-4041-934a-07ed8b09d946-7470065480-1629972695288.png"
"Normal, Dry, Oily, Combination","('wrinkles', 'acne', 'oily skin')",Moisturizer,ARGAVELL 100% Organic Argan Oil,ARGAVELL,"('acne-free', 'oil-control', 'anti-aging')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/Argavell_Argan_Oil.png
"Normal, Dry","('dry and dehydrated skin', 'enlarged pores')",Face Wash,Smooth Pure Cleansing Foam,ARIUL,"('hydrating', 'pore-care')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/Ariul_Smooth_and_Pure_Cleansing_Foam_50ML.webp
"Normal, Dry","('wrinkles',)",Moisturizer,Ariul Ariul Watermelon Hydro Glow Moisturizing & Anti-Aging Care ,ARIUL,"('anti-aging',)","https://www.soco.id/cdn-cgi/image/w=73,format=auto,dpr=1.45/https://images.soco.id/f881d1bd-6215-4507-9152-43964a4e9980-image-0-1629824571950"
"Normal, Dry","('dry and dehydrated skin',)",Moisturizer,Ariul Watermelon Hydro Glow Cream ,ARIUL,"('moisturizing',)","https://www.soco.id/cdn-cgi/image/w=73,format=auto,dpr=1.45/https://images.soco.id/80620090602-1604123086742.png"
"Normal, Dry","('dry and dehydrated skin', 'dull skin')",Toner,Ariul 7 Days Floral Mist,ARIUL,"('moisturizing', 'refreshing')","https://www.soco.id/cdn-cgi/image/w=73,format=auto,dpr=1.45/https://images.soco.id/4604873e-8663-40a2-b3df-eaa63768578a-78656029727-1612792276514.png"
Oily,"('dry and dehydrated skin', 'pigmentation')",Moisturizer,Avoskin Ultra Brightening Cream ,AVOSKIN,"('moisturizing', 'brightening', 'black-spot')","https://www.soco.id/cdn-cgi/image/w=73,format=auto,dpr=1.45/https://images.soco.id/50955389092-1600419000853.png"
Dry,"('dry and dehydrated skin', 'redness')",Toner,Avoskin PHTE Special Edition Avoskin x Sociolla ,AVOSKIN,"('hydrating', 'soothing')","https://www.soco.id/cdn-cgi/image/w=73,format=auto,dpr=1.45/https://images.soco.id/a80af25a-75ba-42ea-9ec5-67d398082796-image-0-1620108030423"
Oily,"('wrinkles', 'pigmentation', 'acne', 'enlarged pores')",Serum,AVOSKIN Miraculous Refining Serum Anniversary Edition ,AVOSKIN ,"('acne-free', 'pore-care', 'brightening', 'anti-aging')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/REFINING_SERUM.png
"Normal, Dry, Oily, Combination","('pigmentation', 'redness')",Toner,AVOSKIN YOUR SKIN BAE SERIES Toner - Essence Vitamin C 2% + Niacinamide 2% + Carrot Exctract Raspberry,AVOSKIN,"('soothing', 'brightening', 'black-spot')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/Avoskin_YOUR_SKIN_BAE_SERIES_Toner_-_Essence_Vitamin_C_2%25_%2B_Niacinamide_2%25_%2B_Carrot_Exctract_Raspberry.jpg
"Dry, Oily, Sensitive","('wrinkles', 'pigmentation', 'acne', 'enlarged pores')",Toner,AVOSKIN Miraculous Refining Toner 100ml,AVOSKIN,"('acne-free', 'pore-care', 'brightening', 'anti-aging')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/miraculuos_toner.jpg
"Normal, Dry, Oily, Combination","('pigmentation', 'redness', 'skin imbalance')",Face Wash,Avoskin Natural Sublime Facial Cleanser,AVOSKIN,"('soothing', 'balancing', 'brightening')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/Natural_Sublime_Facial_Cleanser.webp
"Oily, Combination, Sensitive","('dry and dehydrated skin',)",Face Wash,AVOSKIN Silkyluz The Bohemian Soap 90g,AVOSKIN,"('hydrating', 'moisturizing')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/jual_avoskin_silkyluz_bohemian_soap.jpg
"Dry, Oily, Sensitive","('acne', 'enlarged pores', 'oily skin')",Toner,AVOSKIN YOUR SKIN BAE SERIES Toner Salicylic Acid 1% + Zinc + Tea Tree Water,AVOSKIN,"('acne-free', 'oil-control', 'pore-care')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/YSB-TONER-SALICYLIC-ACID-1_-ZINC-TEA-TREE-WATER-1.jpg
"Dry, Oily, Sensitive","('wrinkles', 'pigmentation', 'acne', 'enlarged pores')",Toner,AVOSKIN Miraculous Retinol Toner 20mL,AVOSKIN,"('acne-free', 'pore-care', 'brightening', 'anti-aging')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/Avoskin_Retinol_Toner_20ml.jpg
"Normal, Dry","('dry and dehydrated skin', 'wrinkles', 'impaired skin barrier')",Toner,AVOSKIN YOUR SKIN BAE SERIES Toner Ceramide LC S-20 1% + Mugwort + Cica ,AVOSKIN,"('moisturizing', 'anti-aging', 'skin-barrier')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/Avoskin_YOUR_SKIN_BAE_SERIES_Toner_Ceramide_LC_S-20_1%25_%2B_Mugwort_%2B_Cica.jpg
"Dry, Oily, Sensitive","('wrinkles', 'pigmentation', 'acne', 'enlarged pores')",Toner,AVOSKIN Miraculous Retinol Toner,AVOSKIN,"('acne-free', 'pore-care', 'brightening', 'anti-aging')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/retinol_toner_%282%29.png
"Dry, Oily, Sensitive","('wrinkles', 'pigmentation', 'enlarged pores')",Toner,AVOSKIN YOUR SKIN BAE SERIES Toner Niacinamide 7% + Alpha Arbutin 1% + Kale,AVOSKIN,"('pore-care', 'brightening', 'anti-aging')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/YSB-TONER-NIACINAMIDE-7-ALPHA-ARBUTIN-1-KALE-1.jpg
"Dry, Oily, Sensitive","('wrinkles', 'pigmentation', 'acne', 'enlarged pores')",Toner,AVOSKIN Miraculous Refining Toner,AVOSKIN,"('acne-free', 'pore-care', 'brightening', 'anti-aging')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/TONER_20_ML.jpg
Dry,"('wrinkles',)",Toner,AVOSKIN YOUR SKIN BAE SERIES Toner Marine Collagen   + Hyacross 2% + Galactomyces,AVOSKIN,"('anti-aging',)",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/YSB-TONER-ULTIMATE-HYALURON-MARINE-COLLAGEN-5-HYACROSS-2-GALACTOMYCES-1.jpg
"Normal, Dry, Oily, Combination, Sensitive","('acne', 'enlarged pores', 'oily skin')",Toner,Avoskin Your Skin Bae Toner Vitamin C 2% + Niacinamide 2% + Carrot Extract + Raspberry Rp 174.900Rp 148.665- (71),AVOSKIN,"('acne-free', 'oil-control', 'pore-care')","https://www.soco.id/cdn-cgi/image/w=73,format=auto,dpr=1.45/https://images.soco.id/3c510f55-e4df-4c6b-b6c0-b079695d8b95-image-0-1623045621068"
Dry,"('wrinkles',)",Serum,AVOSKIN YOUR SKIN BAE SERIES Marine Collagen 10% + Ginseng Root,AVOSKIN,"('anti-aging',)",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/SERUM-MARINE-COLLAGEN-1.jpg
Dry,"('pigmentation', 'redness')",Serum,AVOSKIN YOUR SKIN BAE SERIES Alpha Arbutin 3% + Grapeseed,AVOSKIN,"('soothing', 'brightening')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/SERUM-ALPHA-ARBUTIN-1.png
"Normal, Dry, Combination","('dry and dehydrated skin', 'wrinkles', 'impaired skin barrier')",Serum,AVOSKIN YOUR SKIN BAE SERIES Panthenol 5% + Mugwort + Cica Serum,AVOSKIN,"('hydrating', 'anti-aging', 'skin-barrier')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/Avoskin_YOUR_SKIN_BAE_SERIES_Panthenol_5%25_%2B_Mugwort_%2B_Cica_Serum.jpg
Oily,"('wrinkles', 'pigmentation')",Serum,AVOSKIN Cica Series Face Primer Serum,AVOSKIN,"('brightening', 'anti-aging')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/serum11.jpg
Oily,"('wrinkles', 'pigmentation', 'acne', 'enlarged pores')",Toner,AVOSKIN Miraculous Retinol Toner Anniversary Edition ,AVOSKIN ,"('acne-free', 'pore-care', 'brightening', 'anti-aging')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/AVOSKIN_RETINOL_TONER_DEPAN.png
Oily,"('wrinkles', 'pigmentation', 'acne', 'enlarged pores')",Serum,AVOSKIN Retinol Ampoule,AVOSKIN,"('acne-free', 'pore-care', 'brightening', 'anti-aging')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/retinol_ampoule.png
"Normal, Dry, Combination","('dry and dehydrated skin',)",Moisturizer,Avoskin Avoskin Intensive Divine Day Cream ,AVOSKIN,"('moisturizing',)",https://s3-ap-southeast-1.amazonaws.com/img-sociolla/img/p/2/5/3/1/1/25311-large_default.jpg
Oily,"('wrinkles', 'pigmentation', 'acne', 'enlarged pores')",Moisturizer,AVOSKIN New Ultra Brightening Cream,AVOSKIN,"('acne-free', 'pore-care', 'brightening', 'anti-aging')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/Ultra_Brightening_Cream_10g_1.jpg
"Normal, Dry, Oily, Combination, Sensitive","('redness', 'skin imbalance')",Toner,Avoskin YOUR SKIN BAE Toner Ceramide LC S-20 1% + Mugwort + Cica ,AVOSKIN,"('soothing', 'balancing')","https://www.soco.id/cdn-cgi/image/w=73,format=auto,dpr=1.45/https://images.soco.id/9c48988f-86ae-41f0-b23a-91c6e94dec69-image-0-1625035025088"
"Normal, Dry, Oily, Combination, Sensitive","('wrinkles', 'pigmentation')",Toner,Avoskin YOUR SKIN BAE SERIES Toner Niacinamide 7% + Alpha Arbutin 1% + Kale,AVOSKIN,"('brightening', 'anti-aging')","https://www.soco.id/cdn-cgi/image/w=73,format=auto,dpr=1.45/https://images.soco.id/image-0-1606363801148"
"Normal, Dry, Oily, Combination, Sensitive","('wrinkles', 'pigmentation')",Toner,Avoskin Miraculous Retinol Toner,AVOSKIN,"('brightening', 'anti-aging')","https://www.soco.id/cdn-cgi/image/w=73,format=auto,dpr=1.45/https://images.soco.id/97145099608-1585555026139.png"
Dry,"('wrinkles',)",Moisturizer,AVOSKIN Luminous Emulsion Night Cream 10g,AVOSKIN,"('anti-aging',)",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/Luminous_Emulsion_Night_Cream_10g.jpg
Oily,"('wrinkles', 'pigmentation', 'acne', 'enlarged pores')",Serum,AVOSKIN Miraculous Retinol Ampoule Anniversary Edition,AVOSKIN,"('acne-free', 'pore-care', 'brightening', 'anti-aging')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/RETINOL_AMPOULE.png
"Normal, Dry, Combination","('wrinkles', 'pigmentation', 'impaired skin barrier')",Serum,"AVOSKIN YOUR SKIN BAE SERIES Azeclair 10% + Kombucha 3% + Niacinamide 2,5% Vaccine Serum",AVOSKIN,"('brightening', 'black-spot', 'anti-aging', 'skin-barrier')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/Avoskin_YOUR_SKIN_BAE_SERIES_Azeclair_10%25_%2B_Kombucha_3%25_%2B_Niacinamide_2%2C5%25_Vaccine_Serum.jpg
Oily,"('acne', 'enlarged pores', 'oily skin')",Serum,AVOSKIN YOUR SKIN BAE SERIES Salicylic Acid 2% + Zinc,AVOSKIN,"('acne-free', 'oil-control', 'pore-care')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/SERUM-SALICYLIC-ACID-1.jpg
"Normal, Dry, Oily, Combination","('dry and dehydrated skin', 'pigmentation')",Serum,AVOSKIN YOUR SKIN BAE SERIES Vitamin C 3% + Niacinamide 2% Mandarin Orange Fruit Exctract Serum,AVOSKIN,"('moisturizing', 'brightening', 'black-spot')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/Avoskin_YOUR_SKIN_BAE_SERIES_Vitamin_C_3%25_%2B_Niacinamide_2%25_Mandarin_Orange_Fruit_Exctract_Serum.jpg
Dry,"('dry and dehydrated skin',)",Serum,AVOSKIN YOUR SKIN BAE SERIES HYACROSS 3% + Green Tea,AVOSKIN,"('hydrating', 'moisturizing')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/SERUM-ULTIMATE-HYALURON-HYACROSS-1.jpg
"Normal, Dry, Oily, Combination","('pigmentation', 'acne', 'impaired skin barrier', 'oily skin')",Serum,"AVOSKIN YOUR SKIN BAE SERIES Lactic Acid 10% + Kiwi Fruit Exctract 5% + Niacinamide 2,5% High Dose Serum",AVOSKIN,"('acne-free', 'oil-control', 'brightening', 'skin-barrier')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/Avoskin_YOUR_SKIN_BAE_SERIES_Lactic_Acid_10%25_%2B_Kiwi_Fruit_Exctract_5%25_%2B_Niacinamide_2%2C5%25_High_Dose_Serum.jpg
Dry,"('wrinkles',)",Moisturizer,AVOSKIN Intensive Divine Day Cream 10g,AVOSKIN,"('anti-aging',)",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/Avoskin_Intensive_Divine_Day_Cream_%28BOX%29.jpg
Dry,"('dry and dehydrated skin',)",Toner,Avoskin YOUR SKIN BAE SERIES Ultimate Hyaluron Marine Collagen   + Hyacross 2% + Galactomyces,AVOSKIN,"('hydrating', 'moisturizing')","https://www.soco.id/cdn-cgi/image/w=73,format=auto,dpr=1.45/https://images.soco.id/image-0-1606363923998"
"Normal, Dry, Oily, Combination, Sensitive","('dry and dehydrated skin', 'pigmentation')",Moisturizer,Avoskin Ultra Brightening Cream,AVOSKIN,"('moisturizing', 'brightening', 'black-spot')","https://www.soco.id/cdn-cgi/image/w=73,format=auto,dpr=1.45/https://images.soco.id/50955389092-1600419000853.png"
"Normal, Dry, Oily, Combination, Sensitive","('sun damage', 'redness')",Sunscreen,Avoskin The Great Shield Sunscreen,AVOSKIN,"('soothing', 'uv-protection')","https://www.soco.id/cdn-cgi/image/w=73,format=auto,dpr=1.45/https://images.soco.id/6c69eb37-9607-4b78-9c27-1a519a3c80e1-image-0-1631685598581"
Oily,"('wrinkles', 'pigmentation', 'sun damage')",Sunscreen,AVOSKIN The Great Shield SPF 50 PA++++ ,AVOSKIN,"('brightening', 'anti-aging', 'uv-protection')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/The_Great_Shield_SPF_50_PA_30_ml.png
"Oily, Sensitive","('dry and dehydrated skin', 'pigmentation', 'acne')",Serum,AVOSKIN YOUR SKIN BAE SERIES Niacinamide 12% + Centella,AVOSKIN,"('hydrating', 'acne-free', 'brightening', 'black-spot')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/SERUM-NIACINAMIDE-1.jpg
Oily,"('wrinkles', 'pigmentation', 'acne', 'enlarged pores')",Serum,AVOSKIN Miraculous Refining Serum 30ml,AVOSKIN,"('acne-free', 'pore-care', 'brightening', 'anti-aging')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/miraculous_serum.jpg
"Normal, Dry, Oily, Combination, Sensitive","('dry and dehydrated skin', 'sun damage')",Sunscreen,AVOSKIN BLP x Avoskin Multipurpose Tinted Sunscreen SPF 50+ PA++++ 30 gr,AVOSKIN,"('hydrating', 'uv-protection')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/BLP_x_Avoskin_Multipurpose_Tinted_Sunscreen_SPF50_PA%2B%2B%2B%2B_30_gr1.png
"Oily, Combination","('wrinkles', 'acne', 'enlarged pores')",Face Wash,Acne Gentle Cleansing Foam,AZARINE,"('acne-free', 'pore-care', 'anti-aging')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/Azarine_Acne_Gentle_Cleansing_Foam_60ml.png
"Oily, Combination","('redness', 'oily skin', 'acne')",Sunscreen,Calm My Acne Skinpair Sunscreen Moisturiser SPF35 PA+++,AZARINE,"('soothing', 'acne-free', 'oil-control')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/Azarine_Calm_My_Acne_Skinpair_Sunscreen_Moisturiser_SPF35_PA%2B%2B%2B_%281%29.webp
"Oily, Combination, Sensitive","('dry and dehydrated skin', 'redness')",Face Wash,Azarine Cleansing Moist Micellar Water Complete Solutions,AZARINE,"('soothing', 'moisturizing')",https://images.soco.id/image-0-1598324139105
"Oily, Combination, Sensitive","('dry and dehydrated skin', 'dull skin')",Face Wash,Azarine Bubble On Me Deep Mask Cleanser,AZARINE,"('hydrating', 'refreshing')",https://images.soco.id/9f10e8da-ec2a-4f7f-8791-93c628dc2a7a-image-0-1615962864404
Oily,"('wrinkles', 'pigmentation', 'enlarged pores')",Toner,AZARINE Skinfit Essence Toner,AZARINE,"('pore-care', 'brightening', 'anti-aging')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/Azarine_Skinfit_Essence_Toner.png
"Normal, Dry","('redness', 'skin imbalance')",Toner,Azarine Skinfit Essence Toner,AZARINE,"('soothing', 'balancing')","https://www.soco.id/cdn-cgi/image/w=73,format=auto,dpr=1.45/https://images.soco.id/6d6bfba6-0654-435a-b50d-387b71cba549-image-0-1615962923453"
Oily,"('wrinkles', 'pigmentation', 'acne', 'enlarged pores')",Serum,AZARINE Anti Acne & Brightening Serum 20ml,AZARINE,"('acne-free', 'pore-care', 'brightening', 'anti-aging')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/anti_acne_azarine-removebg-preview.webp
"Normal, Dry, Oily, Combination","('dry and dehydrated skin', 'pigmentation', 'wrinkles')",Serum,AZARINE C white lightening serum,AZARINE,"('moisturizing', 'brightening', 'black-spot', 'anti-aging')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/dd.png
Oily,"('wrinkles', 'pigmentation', 'acne', 'enlarged pores')",Serum,AZARINE Miraclear Herbal Peeling Serum,AZARINE,"('acne-free', 'pore-care', 'brightening', 'anti-aging')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/Azarine_Miraclear_Herbal_Peeling_Serum.jpg
Oily,"('wrinkles', 'pigmentation', 'enlarged pores')",Serum,AZARINE Pore Tightening & Oil Control Moist Serum,AZARINE,"('pore-care', 'brightening', 'anti-aging')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/Pore-Tightening-Oil-Control-Moist-Serum-BoxBotol-Mockup-FRONT.jpg
Oily,"('wrinkles', 'pigmentation', 'enlarged pores')",Serum,AZARINE Easy White Herbal Moisturizer Serum,AZARINE,"('pore-care', 'brightening', 'anti-aging')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/Easy_White_Herbal_Moisturizer_Serum-removebg-preview.png
Oily,"('wrinkles', 'pigmentation', 'enlarged pores')",Serum,AZARINE Revitalizing Anti Aging Serum,AZARINE,"('pore-care', 'brightening', 'anti-aging')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/Shopee_Ad-Produk_Anti-Aging-Serum-1.jpg
